ID,Year,AgeGroup,SmokingStatus,Maternities
6873,2019/20,35 and over,Never smoked,19
6874,2019/20,Under 25,Current smoker,3
6875,2019/20,Under 25,Former smoker,3
6876,2019/20,Under 25,Current smoker,16
6877,2019/20,Under 25,Former smoker,16
6878,2019/20,Under 25,Never smoked,18
6879,2019/20,Under 25,Unknown,1
6880,2019/20,Under 25,Current smoker,14
6881,2019/20,Under 25,Former smoker,15
6882,2019/20,Under 25,Never smoked,27
6883,2019/20,Under 25,Unknown,1
6884,2019/20,Under 25,Current smoker,5
6885,2019/20,Under 25,Former smoker,6
6886,2019/20,Under 25,Never smoked,20
6887,2019/20,Under 25,Unknown,1
6888,2019/20,Under 25,Current smoker,3
6889,2019/20,Under 25,Former smoker,6
6890,2019/20,Under 25,Never smoked,7
6891,2019/20,25-34,Current smoker,90
6892,2019/20,25-34,Former smoker,62
6893,2019/20,25-34,Never smoked,175
6894,2019/20,25-34,Unknown,1
6895,2019/20,25-34,Current smoker,26
6896,2019/20,25-34,Former smoker,19
6897,2019/20,25-34,Never smoked,82
6898,2019/20,25-34,Unknown,1
6899,2019/20,25-34,Current smoker,9
6900,2019/20,25-34,Former smoker,21
6901,2019/20,25-34,Never smoked,75
6902,2019/20,25-34,Current smoker,6
6903,2019/20,25-34,Former smoker,9
6904,2019/20,25-34,Never smoked,68
6905,2019/20,25-34,Current smoker,3
6906,2019/20,25-34,Never smoked,41
6907,2019/20,35 and over,Current smoker,22
6908,2019/20,35 and over,Former smoker,19
6909,2019/20,35 and over,Never smoked,39
6910,2019/20,35 and over,Unknown,1
6911,2019/20,35 and over,Current smoker,4
6912,2019/20,35 and over,Former smoker,5
6913,2019/20,35 and over,Never smoked,19
6914,2019/20,35 and over,Current smoker,6
6915,2019/20,35 and over,Former smoker,4
6916,2019/20,35 and over,Never smoked,28
6917,2019/20,35 and over,Current smoker,1
6918,2019/20,35 and over,Former smoker,6
6919,2019/20,35 and over,Never smoked,12
6920,2019/20,35 and over,Never smoked,19
6921,2019/20,Under 25,Current smoker,57
6922,2019/20,Under 25,Former smoker,39
6923,2019/20,Under 25,Never smoked,73
6924,2019/20,Under 25,Unknown,1
6925,2019/20,Under 25,Current smoker,15
6926,2019/20,Under 25,Former smoker,14
6927,2019/20,Under 25,Never smoked,18
6928,2019/20,Under 25,Unknown,1
6929,2019/20,Under 25,Current smoker,2
6930,2019/20,Under 25,Former smoker,7
6931,2019/20,Under 25,Never smoked,10
6932,2019/20,Under 25,Current smoker,4
6933,2019/20,Under 25,Former smoker,2
6934,2019/20,Under 25,Never smoked,1
6935,2019/20,Under 25,Current smoker,1
6936,2019/20,Under 25,Former smoker,4
6937,2019/20,Under 25,Never smoked,7
6938,2019/20,25-34,Current smoker,1
6939,2019/20,25-34,Former smoker,3
6940,2019/20,25-34,Never smoked,9
6941,2019/20,25-34,Former smoker,2
6942,2019/20,25-34,Never smoked,15
6943,2019/20,25-34,Current smoker,5
6944,2019/20,25-34,Former smoker,19
6945,2019/20,25-34,Never smoked,53
6946,2019/20,35 and over,Former smoker,4
6947,2019/20,35 and over,Never smoked,7
6948,2019/20,35 and over,Current smoker,1
6949,2019/20,35 and over,Former smoker,1
6950,2019/20,35 and over,Never smoked,5
6951,2019/20,35 and over,Former smoker,7
6952,2019/20,35 and over,Never smoked,22
6953,2019/20,Under 25,Former smoker,3
6954,2019/20,Under 25,Never smoked,2
6955,2019/20,Under 25,Current smoker,1
6956,2019/20,Under 25,Former smoker,1
6957,2019/20,Under 25,Never smoked,1
6958,2019/20,Under 25,Current smoker,1
6959,2019/20,Under 25,Former smoker,4
6960,2019/20,Under 25,Never smoked,6
6961,2019/20,25-34,Current smoker,11
6962,2019/20,25-34,Former smoker,9
6963,2019/20,25-34,Never smoked,22
6964,2019/20,25-34,Unknown,1
6965,2019/20,25-34,Current smoker,15
6966,2019/20,25-34,Former smoker,20
6967,2019/20,25-34,Never smoked,71
6968,2019/20,25-34,Unknown,2
6969,2019/20,25-34,Current smoker,18
6970,2019/20,25-34,Former smoker,45
6971,2019/20,25-34,Never smoked,142
6972,2019/20,25-34,Unknown,5
6973,2019/20,25-34,Current smoker,14
6974,2019/20,25-34,Former smoker,20
6975,2019/20,25-34,Never smoked,84
6976,2019/20,25-34,Unknown,2
6977,2019/20,25-34,Former smoker,12
6978,2019/20,25-34,Never smoked,23
6979,2019/20,25-34,Unknown,4
6980,2019/20,35 and over,Current smoker,1
6981,2019/20,35 and over,Former smoker,1
6982,2019/20,35 and over,Never smoked,7
6983,2019/20,35 and over,Unknown,1
6984,2019/20,35 and over,Current smoker,3
6985,2019/20,35 and over,Former smoker,5
6986,2019/20,35 and over,Never smoked,25
6987,2019/20,35 and over,Unknown,2
6988,2019/20,35 and over,Current smoker,5
6989,2019/20,35 and over,Former smoker,14
6990,2019/20,35 and over,Never smoked,48
6991,2019/20,35 and over,Unknown,1
6992,2019/20,35 and over,Current smoker,2
6993,2019/20,35 and over,Former smoker,8
6994,2019/20,35 and over,Never smoked,36
6995,2019/20,35 and over,Former smoker,2
6996,2019/20,35 and over,Never smoked,17
6997,2019/20,35 and over,Unknown,4
6998,2019/20,Under 25,Current smoker,5
6999,2019/20,Under 25,Former smoker,6
7000,2019/20,Under 25,Never smoked,9
7001,2019/20,Under 25,Current smoker,8
7002,2019/20,Under 25,Former smoker,11
7003,2019/20,Under 25,Never smoked,11
7004,2019/20,Under 25,Unknown,2
7005,2019/20,Under 25,Current smoker,12
7006,2019/20,Under 25,Former smoker,7
7007,2019/20,Under 25,Never smoked,28
7008,2019/20,Under 25,Unknown,1
7009,2019/20,Under 25,Current smoker,5
7010,2019/20,Under 25,Former smoker,9
7011,2019/20,Under 25,Never smoked,10
7012,2019/20,Under 25,Unknown,1
7013,2019/20,25-34,Current smoker,2
7014,2019/20,25-34,Former smoker,1
7015,2019/20,25-34,Never smoked,1
7016,2019/20,25-34,Current smoker,1
7017,2019/20,25-34,Former smoker,8
7018,2019/20,25-34,Never smoked,30
7019,2019/20,25-34,Unknown,7
7020,2019/20,25-34,Current smoker,5
7021,2019/20,25-34,Former smoker,8
7022,2019/20,25-34,Never smoked,55
7023,2019/20,25-34,Unknown,3
7024,2019/20,35 and over,Current smoker,3
7025,2019/20,35 and over,Former smoker,2
7026,2019/20,35 and over,Never smoked,12
7027,2019/20,35 and over,Current smoker,3
7028,2019/20,35 and over,Former smoker,4
7029,2019/20,35 and over,Never smoked,15
7030,2019/20,35 and over,Unknown,1
7031,2019/20,Under 25,Current smoker,2
7032,2019/20,Under 25,Never smoked,1
7033,2019/20,Under 25,Current smoker,1
7034,2019/20,Under 25,Former smoker,3
7035,2019/20,Under 25,Never smoked,4
7036,2019/20,Under 25,Unknown,1
7037,2019/20,Under 25,Current smoker,1
7038,2019/20,Under 25,Former smoker,4
7039,2019/20,Under 25,Never smoked,9
7040,2019/20,25-34,Current smoker,37
7041,2019/20,25-34,Former smoker,27
7042,2019/20,25-34,Never smoked,41
7043,2019/20,25-34,Unknown,1
7044,2019/20,25-34,Current smoker,31
7045,2019/20,25-34,Former smoker,33
7046,2019/20,25-34,Never smoked,82
7047,2019/20,25-34,Current smoker,13
7048,2019/20,25-34,Former smoker,26
7049,2019/20,25-34,Never smoked,85
7050,2019/20,25-34,Current smoker,13
7051,2019/20,25-34,Former smoker,9
7052,2019/20,25-34,Never smoked,43
7053,2019/20,25-34,Current smoker,1
7054,2019/20,25-34,Former smoker,11
7055,2019/20,25-34,Never smoked,56
7056,2019/20,25-34,Unknown,1
7057,2019/20,35 and over,Current smoker,7
7058,2019/20,35 and over,Former smoker,4
7059,2019/20,35 and over,Never smoked,11
7060,2019/20,35 and over,Current smoker,3
7061,2019/20,35 and over,Former smoker,16
7062,2019/20,35 and over,Never smoked,25
7063,2019/20,35 and over,Current smoker,5
7064,2019/20,35 and over,Former smoker,7
7065,2019/20,35 and over,Never smoked,28
7066,2019/20,35 and over,Former smoker,7
7067,2019/20,35 and over,Never smoked,29
7068,2019/20,35 and over,Current smoker,3
7069,2019/20,35 and over,Former smoker,6
7070,2019/20,35 and over,Never smoked,37
7071,2019/20,Under 25,Current smoker,17
7072,2019/20,Under 25,Former smoker,18
7073,2019/20,Under 25,Never smoked,24
7074,2019/20,Under 25,Unknown,1
7075,2019/20,Under 25,Current smoker,15
7076,2019/20,Under 25,Former smoker,15
7077,2019/20,Under 25,Never smoked,21
7078,2019/20,Under 25,Current smoker,6
7079,2019/20,Under 25,Former smoker,10
7080,2019/20,Under 25,Never smoked,16
7081,2019/20,Under 25,Current smoker,5
7082,2019/20,Under 25,Never smoked,2
7083,2019/20,Under 25,Former smoker,2
7084,2019/20,Under 25,Never smoked,2
7085,2019/20,25-34,Current smoker,86
7086,2019/20,25-34,Former smoker,62
7087,2019/20,25-34,Never smoked,218
7088,2019/20,25-34,Unknown,2
7089,2019/20,25-34,Current smoker,56
7090,2019/20,25-34,Former smoker,60
7091,2019/20,25-34,Never smoked,308
7092,2019/20,25-34,Unknown,7
7093,2019/20,25-34,Current smoker,27
7094,2019/20,25-34,Former smoker,59
7095,2019/20,25-34,Never smoked,253
7096,2019/20,25-34,Unknown,11
7097,2019/20,25-34,Current smoker,18
7098,2019/20,25-34,Former smoker,41
7099,2019/20,25-34,Never smoked,345
7100,2019/20,25-34,Unknown,9
7101,2019/20,25-34,Current smoker,5
7102,2019/20,25-34,Former smoker,21
7103,2019/20,25-34,Never smoked,239
7104,2019/20,25-34,Unknown,3
7105,2019/20,35 and over,Current smoker,18
7106,2019/20,35 and over,Former smoker,15
7107,2019/20,35 and over,Never smoked,69
7108,2019/20,35 and over,Current smoker,19
7109,2019/20,35 and over,Former smoker,11
7110,2019/20,35 and over,Never smoked,104
7111,2019/20,35 and over,Unknown,2
7112,2019/20,35 and over,Current smoker,13
7113,2019/20,35 and over,Former smoker,13
7114,2019/20,35 and over,Never smoked,84
7115,2019/20,35 and over,Unknown,1
7116,2019/20,35 and over,Current smoker,5
7117,2019/20,35 and over,Former smoker,17
7118,2019/20,35 and over,Never smoked,188
7119,2019/20,35 and over,Unknown,7
7120,2019/20,35 and over,Current smoker,4
7121,2019/20,35 and over,Former smoker,15
7122,2019/20,35 and over,Never smoked,122
7123,2019/20,Under 25,Current smoker,49
7124,2019/20,Under 25,Former smoker,30
7125,2019/20,Under 25,Never smoked,92
7126,2019/20,Under 25,Unknown,4
7127,2019/20,Under 25,Current smoker,33
7128,2019/20,Under 25,Former smoker,24
7129,2019/20,Under 25,Never smoked,66
7130,2019/20,Under 25,Unknown,3
7131,2019/20,Under 25,Current smoker,21
7132,2019/20,Under 25,Former smoker,16
7133,2019/20,Under 25,Never smoked,57
7134,2019/20,Under 25,Unknown,2
7135,2019/20,Under 25,Current smoker,6
7136,2019/20,Under 25,Former smoker,8
7137,2019/20,Under 25,Never smoked,30
7138,2019/20,Under 25,Unknown,1
7139,2019/20,Under 25,Former smoker,4
7140,2019/20,Under 25,Never smoked,23
7141,2019/20,25-34,Current smoker,15
7142,2019/20,25-34,Former smoker,9
7143,2019/20,25-34,Never smoked,45
7144,2019/20,25-34,Current smoker,5
7145,2019/20,25-34,Former smoker,6
7146,2019/20,25-34,Never smoked,63
7147,2019/20,25-34,Current smoker,8
7148,2019/20,25-34,Former smoker,5
7149,2019/20,25-34,Never smoked,57
7150,2019/20,25-34,Unknown,1
7151,2019/20,25-34,Current smoker,10
7152,2019/20,25-34,Former smoker,12
7153,2019/20,25-34,Never smoked,97
7154,2019/20,25-34,Unknown,1
7155,2019/20,25-34,Current smoker,4
7156,2019/20,25-34,Former smoker,5
7157,2019/20,25-34,Never smoked,75
7158,2019/20,25-34,Unknown,2
7159,2019/20,35 and over,Current smoker,4
7160,2019/20,35 and over,Former smoker,2
7161,2019/20,35 and over,Never smoked,10
7162,2019/20,35 and over,Current smoker,2
7163,2019/20,35 and over,Former smoker,2
7164,2019/20,35 and over,Never smoked,26
7165,2019/20,35 and over,Current smoker,1
7166,2019/20,35 and over,Former smoker,3
7167,2019/20,35 and over,Never smoked,28
7168,2019/20,35 and over,Unknown,1
7169,2019/20,35 and over,Current smoker,4
7170,2019/20,35 and over,Former smoker,9
7171,2019/20,35 and over,Never smoked,66
7172,2019/20,35 and over,Current smoker,2
7173,2019/20,35 and over,Former smoker,5
7174,2019/20,35 and over,Never smoked,48
7175,2019/20,Under 25,Current smoker,11
7176,2019/20,Under 25,Former smoker,8
7177,2019/20,Under 25,Never smoked,16
7178,2019/20,Under 25,Current smoker,8
7179,2019/20,Under 25,Former smoker,4
7180,2019/20,Under 25,Never smoked,11
7181,2019/20,Under 25,Current smoker,4
7182,2019/20,Under 25,Former smoker,1
7183,2019/20,Under 25,Never smoked,5
7184,2019/20,Under 25,Unknown,1
7185,2019/20,Under 25,Current smoker,2
7186,2019/20,Under 25,Never smoked,6
7187,2019/20,Under 25,Unknown,1
7188,2019/20,Under 25,Never smoked,4
7189,2019/20,25-34,Current smoker,49
7190,2019/20,25-34,Former smoker,26
7191,2019/20,25-34,Never smoked,102
7192,2019/20,25-34,Current smoker,51
7193,2019/20,25-34,Former smoker,75
7194,2019/20,25-34,Never smoked,200
7195,2019/20,25-34,Unknown,2
7196,2019/20,25-34,Current smoker,25
7197,2019/20,25-34,Former smoker,34
7198,2019/20,25-34,Never smoked,151
7199,2019/20,25-34,Current smoker,16
7200,2019/20,25-34,Former smoker,35
7201,2019/20,25-34,Never smoked,171
7202,2019/20,25-34,Current smoker,15
7203,2019/20,25-34,Former smoker,77
7204,2019/20,25-34,Never smoked,367
7205,2019/20,25-34,Unknown,1
7206,2019/20,35 and over,Current smoker,13
7207,2019/20,35 and over,Former smoker,12
7208,2019/20,35 and over,Never smoked,34
7209,2019/20,35 and over,Current smoker,16
7210,2019/20,35 and over,Former smoker,22
7211,2019/20,35 and over,Never smoked,78
7212,2019/20,35 and over,Unknown,1
7213,2019/20,35 and over,Current smoker,4
7214,2019/20,35 and over,Former smoker,13
7215,2019/20,35 and over,Never smoked,57
7216,2019/20,35 and over,Current smoker,7
7217,2019/20,35 and over,Former smoker,14
7218,2019/20,35 and over,Never smoked,61
7219,2019/20,35 and over,Current smoker,3
7220,2019/20,35 and over,Former smoker,43
7221,2019/20,35 and over,Never smoked,208
7222,2019/20,35 and over,Unknown,1
7223,2019/20,Under 25,Current smoker,26
7224,2019/20,Under 25,Former smoker,15
7225,2019/20,Under 25,Never smoked,29
7226,2019/20,Under 25,Current smoker,36
7227,2019/20,Under 25,Former smoker,31
7228,2019/20,Under 25,Never smoked,41
7229,2019/20,Under 25,Current smoker,9
7230,2019/20,Under 25,Former smoker,14
7231,2019/20,Under 25,Never smoked,22
7232,2019/20,Under 25,Current smoker,5
7233,2019/20,Under 25,Former smoker,9
7234,2019/20,Under 25,Never smoked,18
7235,2019/20,Under 25,Current smoker,5
7236,2019/20,Under 25,Former smoker,8
7237,2019/20,Under 25,Never smoked,16
7238,2019/20,25-34,Current smoker,13
7239,2019/20,25-34,Former smoker,6
7240,2019/20,25-34,Never smoked,20
7241,2019/20,25-34,Current smoker,32
7242,2019/20,25-34,Former smoker,26
7243,2019/20,25-34,Never smoked,84
7244,2019/20,25-34,Unknown,1
7245,2019/20,25-34,Current smoker,29
7246,2019/20,25-34,Former smoker,74
7247,2019/20,25-34,Never smoked,182
7248,2019/20,25-34,Current smoker,39
7249,2019/20,25-34,Former smoker,97
7250,2019/20,25-34,Never smoked,449
7251,2019/20,25-34,Unknown,1
7252,2019/20,25-34,Current smoker,12
7253,2019/20,25-34,Former smoker,64
7254,2019/20,25-34,Never smoked,280
7255,2019/20,25-34,Unknown,2
7256,2019/20,35 and over,Current smoker,3
7257,2019/20,35 and over,Former smoker,2
7258,2019/20,35 and over,Never smoked,5
7259,2019/20,35 and over,Current smoker,10
7260,2019/20,35 and over,Former smoker,13
7261,2019/20,35 and over,Never smoked,26
7262,2019/20,35 and over,Current smoker,8
7263,2019/20,35 and over,Former smoker,20
7264,2019/20,35 and over,Never smoked,62
7265,2019/20,35 and over,Unknown,1
7266,2019/20,35 and over,Current smoker,13
7267,2019/20,35 and over,Former smoker,45
7268,2019/20,35 and over,Never smoked,155
7269,2019/20,35 and over,Current smoker,4
7270,2019/20,35 and over,Former smoker,35
7271,2019/20,35 and over,Never smoked,124
7272,2019/20,35 and over,Unknown,1
7273,2019/20,Under 25,Current smoker,8
7274,2019/20,Under 25,Former smoker,5
7275,2019/20,Under 25,Never smoked,6
7276,2019/20,Under 25,Current smoker,19
7277,2019/20,Under 25,Former smoker,15
7278,2019/20,Under 25,Never smoked,23
7279,2019/20,Under 25,Current smoker,18
7280,2019/20,Under 25,Former smoker,14
7281,2019/20,Under 25,Never smoked,37
7282,2019/20,Under 25,Current smoker,11
7283,2019/20,Under 25,Former smoker,12
7284,2019/20,Under 25,Never smoked,45
7285,2019/20,Under 25,Unknown,1
7286,2019/20,Under 25,Current smoker,5
7287,2019/20,Under 25,Former smoker,13
7288,2019/20,Under 25,Never smoked,19
7289,2019/20,25-34,Current smoker,4
7290,2019/20,25-34,Former smoker,2
7291,2019/20,25-34,Never smoked,20
7292,2019/20,25-34,Unknown,15
7293,2019/20,25-34,Current smoker,10
7294,2019/20,25-34,Former smoker,12
7295,2019/20,25-34,Never smoked,32
7296,2019/20,25-34,Unknown,15
7297,2019/20,25-34,Current smoker,9
7298,2019/20,25-34,Former smoker,14
7299,2019/20,25-34,Never smoked,98
7300,2019/20,25-34,Unknown,34
7301,2019/20,25-34,Current smoker,1
7302,2019/20,25-34,Former smoker,6
7303,2019/20,25-34,Never smoked,55
7304,2019/20,25-34,Unknown,20
7305,2019/20,25-34,Current smoker,1
7306,2019/20,25-34,Former smoker,3
7307,2019/20,25-34,Never smoked,16
7308,2019/20,35 and over,Current smoker,1
7309,2019/20,35 and over,Never smoked,4
7310,2019/20,35 and over,Unknown,1
7311,2019/20,35 and over,Former smoker,3
7312,2019/20,35 and over,Never smoked,13
7313,2019/20,35 and over,Unknown,3
7314,2019/20,35 and over,Current smoker,6
7315,2019/20,35 and over,Former smoker,1
7316,2019/20,35 and over,Never smoked,19
7317,2019/20,35 and over,Unknown,11
7318,2019/20,35 and over,Current smoker,2
7319,2019/20,35 and over,Former smoker,3
7320,2019/20,35 and over,Never smoked,25
7321,2019/20,35 and over,Unknown,6
7322,2019/20,35 and over,Never smoked,9
7323,2019/20,35 and over,Unknown,1
7324,2019/20,Under 25,Current smoker,6
7325,2019/20,Under 25,Former smoker,6
7326,2019/20,Under 25,Never smoked,5
7327,2019/20,Under 25,Unknown,4
7328,2019/20,Under 25,Current smoker,6
7329,2019/20,Under 25,Former smoker,5
7330,2019/20,Under 25,Never smoked,14
7331,2019/20,Under 25,Unknown,5
7332,2019/20,Under 25,Current smoker,8
7333,2019/20,Under 25,Former smoker,8
7334,2019/20,Under 25,Never smoked,13
7335,2019/20,Under 25,Unknown,12
7336,2019/20,Under 25,Current smoker,2
7337,2019/20,Under 25,Former smoker,4
7338,2019/20,Under 25,Never smoked,9
7339,2019/20,Under 25,Unknown,3
7340,2019/20,Under 25,Former smoker,1
7341,2019/20,Under 25,Never smoked,2
7342,2019/20,25-34,Current smoker,83
7343,2019/20,25-34,Former smoker,81
7344,2019/20,25-34,Never smoked,277
7345,2019/20,25-34,Unknown,1
7346,2019/20,25-34,Current smoker,47
7347,2019/20,25-34,Former smoker,95
7348,2019/20,25-34,Never smoked,313
7349,2019/20,25-34,Unknown,4
7350,2019/20,25-34,Current smoker,20
7351,2019/20,25-34,Former smoker,71
7352,2019/20,25-34,Never smoked,265
7353,2019/20,25-34,Unknown,1
7354,2019/20,25-34,Current smoker,23
7355,2019/20,25-34,Former smoker,83
7356,2019/20,25-34,Never smoked,406
7357,2019/20,25-34,Unknown,2
7358,2019/20,25-34,Current smoker,11
7359,2019/20,25-34,Former smoker,104
7360,2019/20,25-34,Never smoked,714
7361,2019/20,25-34,Unknown,7
7362,2019/20,35 and over,Current smoker,19
7363,2019/20,35 and over,Former smoker,24
7364,2019/20,35 and over,Never smoked,82
7365,2019/20,35 and over,Unknown,2
7366,2019/20,35 and over,Current smoker,16
7367,2019/20,35 and over,Former smoker,39
7368,2019/20,35 and over,Never smoked,148
7369,2019/20,35 and over,Current smoker,7
7370,2019/20,35 and over,Former smoker,42
7371,2019/20,35 and over,Never smoked,138
7372,2019/20,35 and over,Unknown,1
7373,2019/20,35 and over,Current smoker,6
7374,2019/20,35 and over,Former smoker,56
7375,2019/20,35 and over,Never smoked,203
7376,2019/20,35 and over,Unknown,2
7377,2019/20,35 and over,Current smoker,5
7378,2019/20,35 and over,Former smoker,95
7379,2019/20,35 and over,Never smoked,563
7380,2019/20,Under 25,Current smoker,57
7381,2019/20,Under 25,Former smoker,35
7382,2019/20,Under 25,Never smoked,88
7383,2019/20,Under 25,Unknown,2
7384,2019/20,Under 25,Current smoker,39
7385,2019/20,Under 25,Former smoker,21
7386,2019/20,Under 25,Never smoked,54
7387,2019/20,Under 25,Unknown,1
7388,2019/20,Under 25,Current smoker,11
7389,2019/20,Under 25,Former smoker,15
7390,2019/20,Under 25,Never smoked,28
7391,2019/20,Under 25,Unknown,1
7392,2019/20,Under 25,Current smoker,12
7393,2019/20,Under 25,Former smoker,15
7394,2019/20,Under 25,Never smoked,23
7395,2019/20,Under 25,Current smoker,3
7396,2019/20,Under 25,Former smoker,5
7397,2019/20,Under 25,Never smoked,24
7398,2019/20,Under 25,Unknown,2
7399,2019/20,25-34,Current smoker,73
7400,2019/20,25-34,Former smoker,49
7401,2019/20,25-34,Never smoked,152
7402,2019/20,25-34,Unknown,2
7403,2019/20,25-34,Current smoker,37
7404,2019/20,25-34,Former smoker,37
7405,2019/20,25-34,Never smoked,183
7406,2019/20,25-34,Current smoker,15
7407,2019/20,25-34,Former smoker,24
7408,2019/20,25-34,Never smoked,129
7409,2019/20,25-34,Current smoker,6
7410,2019/20,25-34,Former smoker,14
7411,2019/20,25-34,Never smoked,123
7412,2019/20,25-34,Current smoker,1
7413,2019/20,25-34,Former smoker,18
7414,2019/20,25-34,Never smoked,205
7415,2019/20,35 and over,Current smoker,11
7416,2019/20,35 and over,Former smoker,11
7417,2019/20,35 and over,Never smoked,45
7418,2019/20,35 and over,Current smoker,6
7419,2019/20,35 and over,Former smoker,9
7420,2019/20,35 and over,Never smoked,53
7421,2019/20,35 and over,Current smoker,5
7422,2019/20,35 and over,Former smoker,3
7423,2019/20,35 and over,Never smoked,53
7424,2019/20,35 and over,Former smoker,7
7425,2019/20,35 and over,Never smoked,58
7426,2019/20,35 and over,Former smoker,16
7427,2019/20,35 and over,Never smoked,90
7428,2019/20,Under 25,Current smoker,37
7429,2019/20,Under 25,Former smoker,22
7430,2019/20,Under 25,Never smoked,37
7431,2019/20,Under 25,Current smoker,19
7432,2019/20,Under 25,Former smoker,10
7433,2019/20,Under 25,Never smoked,40
7434,2019/20,Under 25,Current smoker,5
7435,2019/20,Under 25,Former smoker,4
7436,2019/20,Under 25,Never smoked,26
7437,2019/20,Under 25,Current smoker,1
7438,2019/20,Under 25,Former smoker,1
7439,2019/20,Under 25,Never smoked,7
7440,2019/20,Under 25,Current smoker,2
7441,2019/20,Under 25,Former smoker,5
7442,2019/20,Under 25,Never smoked,10
7443,2019/20,25-34,Current smoker,54
7444,2019/20,25-34,Former smoker,35
7445,2019/20,25-34,Never smoked,145
7446,2019/20,25-34,Unknown,3
7447,2019/20,25-34,Current smoker,22
7448,2019/20,25-34,Former smoker,22
7449,2019/20,25-34,Never smoked,95
7450,2019/20,25-34,Unknown,2
7451,2019/20,25-34,Current smoker,8
7452,2019/20,25-34,Former smoker,11
7453,2019/20,25-34,Never smoked,58
7454,2019/20,25-34,Current smoker,1
7455,2019/20,25-34,Former smoker,5
7456,2019/20,25-34,Never smoked,36
7457,2019/20,25-34,Former smoker,2
7458,2019/20,25-34,Never smoked,13
7459,2019/20,35 and over,Current smoker,11
7460,2019/20,35 and over,Former smoker,10
7461,2019/20,35 and over,Never smoked,45
7462,2019/20,35 and over,Current smoker,2
7463,2019/20,35 and over,Former smoker,4
7464,2019/20,35 and over,Never smoked,27
7465,2019/20,35 and over,Current smoker,1
7466,2019/20,35 and over,Former smoker,3
7467,2019/20,35 and over,Never smoked,21
7468,2019/20,35 and over,Never smoked,7
7469,2019/20,35 and over,Current smoker,1
7470,2019/20,35 and over,Never smoked,8
7471,2019/20,Under 25,Current smoker,34
7472,2019/20,Under 25,Former smoker,19
7473,2019/20,Under 25,Never smoked,53
7474,2019/20,Under 25,Unknown,1
7475,2019/20,Under 25,Current smoker,10
7476,2019/20,Under 25,Former smoker,5
7477,2019/20,Under 25,Never smoked,23
7478,2019/20,Under 25,Former smoker,2
7479,2019/20,Under 25,Never smoked,11
7480,2019/20,Under 25,Current smoker,2
7481,2019/20,Under 25,Former smoker,2
7482,2019/20,Under 25,Never smoked,3
7483,2019/20,Under 25,Never smoked,1
7484,2019/20,25-34,Current smoker,48
7485,2019/20,25-34,Former smoker,31
7486,2019/20,25-34,Never smoked,69
7487,2019/20,25-34,Unknown,4
7488,2019/20,25-34,Current smoker,55
7489,2019/20,25-34,Former smoker,76
7490,2019/20,25-34,Never smoked,147
7491,2019/20,25-34,Unknown,3
7492,2019/20,25-34,Current smoker,19
7493,2019/20,25-34,Former smoker,45
7494,2019/20,25-34,Never smoked,102
7495,2019/20,25-34,Unknown,2
7496,2019/20,25-34,Current smoker,15
7497,2019/20,25-34,Former smoker,40
7498,2019/20,25-34,Never smoked,218
7499,2019/20,25-34,Current smoker,2
7500,2019/20,25-34,Former smoker,20
7501,2019/20,25-34,Never smoked,107
7502,2019/20,25-34,Unknown,2
7503,2019/20,35 and over,Current smoker,11
7504,2019/20,35 and over,Former smoker,2
7505,2019/20,35 and over,Never smoked,16
7506,2019/20,35 and over,Current smoker,12
7507,2019/20,35 and over,Former smoker,19
7508,2019/20,35 and over,Never smoked,46
7509,2019/20,35 and over,Current smoker,5
7510,2019/20,35 and over,Former smoker,19
7511,2019/20,35 and over,Never smoked,41
7512,2019/20,35 and over,Current smoker,3
7513,2019/20,35 and over,Former smoker,14
7514,2019/20,35 and over,Never smoked,80
7515,2019/20,35 and over,Unknown,2
7516,2019/20,35 and over,Current smoker,1
7517,2019/20,35 and over,Former smoker,9
7518,2019/20,35 and over,Never smoked,65
7519,2019/20,35 and over,Unknown,1
7520,2019/20,Under 25,Current smoker,29
7521,2019/20,Under 25,Former smoker,22
7522,2019/20,Under 25,Never smoked,34
7523,2019/20,Under 25,Current smoker,34
7524,2019/20,Under 25,Former smoker,37
7525,2019/20,Under 25,Never smoked,54
7526,2019/20,Under 25,Unknown,1
7527,2019/20,Under 25,Current smoker,7
7528,2019/20,Under 25,Former smoker,17
7529,2019/20,Under 25,Never smoked,18
7530,2019/20,Under 25,Current smoker,8
7531,2019/20,Under 25,Former smoker,17
7532,2019/20,Under 25,Never smoked,22
7533,2019/20,Under 25,Unknown,1
7534,2019/20,Under 25,Former smoker,2
7535,2019/20,Under 25,Never smoked,11
7536,2019/20,Under 25,Unknown,1
7537,2019/20,25-34,Current smoker,12
7538,2019/20,25-34,Former smoker,10
7539,2019/20,25-34,Never smoked,20
7540,2019/20,25-34,Unknown,8
7541,2019/20,25-34,Current smoker,30
7542,2019/20,25-34,Former smoker,18
7543,2019/20,25-34,Never smoked,91
7544,2019/20,25-34,Unknown,19
7545,2019/20,25-34,Current smoker,19
7546,2019/20,25-34,Former smoker,13
7547,2019/20,25-34,Never smoked,104
7548,2019/20,25-34,Unknown,32
7549,2019/20,25-34,Current smoker,11
7550,2019/20,25-34,Former smoker,16
7551,2019/20,25-34,Never smoked,109
7552,2019/20,25-34,Unknown,22
7553,2019/20,25-34,Current smoker,6
7554,2019/20,25-34,Former smoker,5
